Wall time,Step,Value
1636026145.9377,8154,100.0
1636026146.0061476,8164,99.84375
1636026147.5697324,8394,100.0
1636026147.8409202,8434,100.0
1636026150.9136312,8772,100.0
1636026151.3747494,8842,100.0
1636026151.7713416,8902,100.0
1636026152.6926286,9042,99.84375
1636026152.9566743,9082,100.0
1636026153.4213922,9152,100.0
1636026153.5540445,9172,99.84375
1636026153.9536767,9232,100.0
1636026154.0860693,9252,100.0
1636026155.865658,9400,100.0
1636026155.9318926,9410,100.0
1636026156.5923023,9510,100.0
1636026156.7897162,9540,100.0
1636026157.3814597,9630,100.0
1636026157.6461835,9670,100.0
1636026157.9118657,9710,100.0
1636026158.5106468,9800,99.84375
1636026158.5770893,9810,100.0
1636026158.9756775,9870,99.84375
1636026159.0414262,9880,100.0
1636026159.3753495,9930,100.0
1636026160.5700228,10110,99.6875
1636026160.7699957,10140,100.0
1636026161.367935,10230,100.0
1636026164.2051926,10538,99.84375
1636026165.0680065,10668,100.0
1636026165.4655175,10728,100.0
1636026165.6646607,10758,100.0
1636026165.798407,10778,99.84375
1636026166.0646825,10818,100.0
1636026166.4637146,10878,100.0
1636026166.7952392,10928,100.0
1636026167.4574206,11028,99.84375
1636026167.8534443,11088,100.0
1636026168.182749,11138,100.0
1636026168.844911,11238,99.84375
1636026172.469502,11666,100.0
1636026172.7346792,11706,100.0
1636026172.8019292,11716,100.0
1636026172.8675761,11726,99.84375
1636026174.0601666,11906,99.84375
1636026174.9222243,12036,100.0
1636026175.7875571,12166,99.84375
1636026178.3645115,12434,100.0
1636026179.1635563,12554,100.0
1636026179.8966608,12664,99.84375
1636026180.0959096,12694,99.84375
1636026180.2939107,12724,99.84375
1636026181.6150854,12924,100.0
1636026182.0158422,12984,100.0
1636026182.4787648,13054,99.84375
1636026182.876727,13114,100.0
1636027449.048656,150,85.625
1636027449.247493,180,89.21875
1636027449.978134,290,92.34375
1636027493.0520496,10,11.71875
1636027493.2520514,40,11.71875
1636027493.3189065,50,12.1875
1636027496.4740782,530,95.78125
1636027496.6704185,560,93.90625
1636027496.8669484,590,95.78125
1636027496.9323967,600,95.78125
1636027498.3770752,820,96.5625
1636027499.995972,948,96.71875
1636027500.1265368,968,97.1875
1636027500.6558228,1048,97.96875
1636027500.9210646,1088,97.1875
1636027502.5639105,1338,97.8125
1636027502.629141,1348,97.65625
1636027503.3456714,1458,96.71875
1636027503.867428,1538,97.5
1636027504.1305935,1578,97.03125
1636027504.2613668,1598,97.96875
1636027507.1898417,1926,98.28125
1636027507.4527695,1966,98.28125
1636027509.0966337,2216,97.65625
1636027510.145227,2376,98.75
1636027510.2107735,2386,97.5
1636027511.1982238,2536,98.90625
1636027511.4600139,2576,98.125
1636027512.520135,2736,99.21875
1636027512.585393,2746,98.75
1636027514.8599746,2974,99.21875
1636027515.1876445,3024,99.0625
1636027515.5157263,3074,99.375
1636027515.712016,3104,99.0625
1636027516.0406868,3154,99.53125
1636027516.2386591,3184,99.84375
1636027517.0250678,3304,99.21875
1636027517.553312,3384,98.75
1636027518.0157528,3454,99.21875
1636027518.4776654,3524,100.0
1636027519.0706804,3614,99.21875
1636027519.3354867,3654,99.53125
1636027519.4660048,3674,99.21875
1636027519.597561,3694,99.375
1636027519.7952328,3724,99.84375
1636027521.0878308,3802,99.53125
1636027521.680754,3892,99.21875
1636027522.3367538,3992,99.84375
1636027522.5994341,4032,99.53125
1636027522.730565,4052,99.6875
1636027522.927277,4082,99.84375
1636027523.2561736,4132,99.6875
1636027523.452544,4162,99.375
1636027523.518362,4172,99.53125
1636027524.8301454,4372,99.53125
1636027525.4200532,4462,100.0
1636027525.8143706,4522,100.0
1636027526.2728305,4592,100.0
1636027526.3379915,4602,99.53125
1636027527.7630699,4700,100.0
1636027528.2297,4770,99.84375
1636027529.6106763,4980,100.0
1636027529.8733013,5020,99.84375
1636027530.537073,5120,99.6875
1636027530.801448,5160,100.0
1636027531.4351003,5250,99.84375
1636027532.2887087,5380,99.84375
1636027532.4861338,5410,99.6875
1636027532.8794253,5470,100.0
1636027533.0107698,5490,99.6875
1636027536.1251307,5838,100.0
1636027536.5190463,5898,100.0
1636027537.6408675,6068,99.84375
1636027538.2986898,6168,99.84375
1636027538.4945972,6198,99.84375
1636027538.6254685,6218,99.84375
1636027539.8009639,6398,99.84375
1636027540.7249398,6538,99.84375
1636027540.8557737,6558,99.84375
1636027542.863897,6746,100.0
1636027543.1263988,6786,100.0
1636027543.656059,6866,100.0
1636027544.7730117,7036,99.84375
1636027545.1660268,7096,99.84375
1636027546.7442503,7336,100.0
1636027547.597147,7466,100.0
1636027547.7928627,7496,100.0
1636027548.6852531,7514,99.6875
1636027548.815499,7534,100.0
1636027548.9459677,7554,99.84375
1636027549.2080457,7594,99.84375
1636027549.4694457,7634,100.0
1636027549.9262633,7704,99.84375
1636027550.903779,7854,100.0
1636027553.1368656,8194,100.0
1636027553.401243,8234,100.0
1636027553.8632603,8304,100.0
1636027554.457089,8394,99.84375
1636027556.0726473,8522,100.0
1636027556.7315865,8622,100.0
1636027556.8628795,8642,100.0
1636027556.9943676,8662,100.0
1636027557.3236735,8712,100.0
1636027557.5212018,8742,100.0
1636027558.0481226,8822,99.6875
1636027558.311688,8862,100.0
1636027559.6249418,9062,100.0
1636027559.9512687,9112,99.84375
1636027560.0169895,9122,100.0
1636027560.1492934,9142,100.0
1636027560.346197,9172,100.0
1636027560.6089144,9212,100.0
1636027560.6743524,9222,100.0
1636027561.1340034,9292,100.0
1636027561.3307867,9322,99.84375
1636027561.658319,9372,99.6875
1636027563.7460456,9570,100.0
1636027564.4120648,9670,99.84375
1636027564.8104274,9730,100.0
1636027565.205193,9790,100.0
1636027565.4671633,9830,100.0
1636027566.2541845,9950,99.84375
1636027566.319256,9960,100.0
1636027567.9577327,10210,100.0
1636027568.548064,10300,100.0
1636027571.6940172,10658,99.84375
1636027571.760029,10668,100.0
1636027571.8924618,10688,100.0
1636027572.8167126,10828,100.0
1636027574.782837,11128,99.84375
1636027575.30881,11208,100.0
1636027576.6061122,11286,100.0
1636027576.7370496,11306,99.84375
1636027576.867446,11326,99.84375
1636027577.1948712,11376,100.0
1636027578.832673,11626,100.0
1636027578.8976998,11636,100.0
